Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
3000,88,2+1,1,1,Merkezi (Pay Ölçer),Var,Boş,Evet
3000,110,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
3750,105,3+1,2,1,Kombi Doğalgaz,Yok,Boş,Hayır
3500,110,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4000,105,3+1,2,0 (Yeni),Kombi Doğalgaz,Yok,Eşyalı,Hayır
12500,372,6+2,4,11-15,Kombi Doğalgaz,Var,Boş,Evet
3500,60,1+1,1,5-10,Kombi Doğalgaz,Var,Eşyalı,Evet
4900,75,2+1,2,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3900,88,2+1,2,1,Kombi Doğalgaz,Yok,Boş,Hayır
3250,95,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5000,110,3+1,1,11-15,Kombi Doğalgaz,Var,Boş,Hayır
1600,15,Stüdyo,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
2500,90,3+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4650,117,3+1,2,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
5999,70,1+1,1,1,Yerden Isıtma,Yok,Eşyalı,Hayır
6000,108,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3000,92,2+1,2,1,Kombi Doğalgaz,Var,Boş,Evet
3500,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3000,92,2+1,1,1,Kombi Doğalgaz,Var,Boş,Evet
2000,85,1+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
6000,108,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Eşyalı,Hayır
4000,80,2+1,1,1,Kombi Doğalgaz,Yok,Boş,Hayır
