Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
40000,200,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4150,105,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
15000,150,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
35000,280,5+1,3,5-10,Yerden Isıtma,Yok,Boş,Hayır
8000,55,1+1,1,5-10,Yerden Isıtma,Yok,Boş,Hayır
27000,162,4+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
13000,90,2+1,2,5-10,Merkezi Doğalgaz,Yok,Boş,Hayır
10000,85,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
35000,260,5+1,3,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
14000,110,2+1,2,2,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
13500,110,2+1,2,2,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
20000,150,3+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
11000,55,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Evet
20000,135,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
25000,190,4+1,3,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
11500,100,3+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
11000,72,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
10000,72,2+1,1,0 (Yeni),Yerden Isıtma,Yok,Boş,Hayır
18500,110,2+1,2,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
18500,110,2+1,2,5-10,Yerden Isıtma,Yok,Eşyalı,Hayır
10000,70,1+1,1,1,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,50,1+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
18000,140,2+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
18000,90,2+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
17000,100,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
17000,100,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
9000,76,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
17000,100,2+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
17000,100,2+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
9000,76,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
12800,110,2+1,2,2,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
17000,105,2+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
40000,200,4+1,3,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
10000,86,2+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
4500,135,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5500,180,4+2,3,11-15,Kombi Doğalgaz,Var,Boş,Evet
6000,120,2+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
17000,140,3+1,2,5-10,Yerden Isıtma,Yok,Boş,Hayır
39000,180,3+1,3,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
12000,80,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
33500,175,3+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
29000,170,3+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
11500,55,Stüdyo,1,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
20000,180,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
13000,130,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
18000,150,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
18000,130,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
20000,155,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
18000,145,3+1,2,5-10,Yerden Isıtma,Yok,Boş,Hayır
19000,165,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
19500,157,4+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
20000,240,4+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
8450,79,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
8500,75,2+1,1,1,Merkezi (Pay Ölçer),Yok,Boş,Hayır
20000,150,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
13000,90,2+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
14000,90,2+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
36000,200,3+1,4,2,Yerden Isıtma,Yok,Boş,Hayır
12000,140,3+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
12000,105,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
12000,105,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
5250,44,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
13000,110,3+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
13000,105,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
20000,131,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
5500,199,4+2,3,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
5000,100,2+1,1,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
8000,75,2+1,1,0 (Yeni),Yerden Isıtma,Yok,Boş,Hayır
10000,90,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
10000,105,2+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
25000,121,3+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
12500,105,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
18000,115,2+1,2,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
