Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
19000,300,5+1,3,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5500,110,2+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6500,140,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
8000,160,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
10500,160,3+1,3,3,Yerden Isıtma,Var,Boş,Evet
25000,300,6+2,3,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
8000,180,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
7500,70,2+1,1,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
28500,200,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
13500,230,4+1,2,21 Ve Üzeri,Merkezi (Pay Ölçer),Var,Boş,Hayır
25000,260,4+1,3,11-15,Kombi Doğalgaz,Var,Boş,Hayır
15950,240,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
12500,120,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
17500,140,3+1,2,21 Ve Üzeri,Yerden Isıtma,Yok,Boş,Hayır
12000,210,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
13500,250,4+1,3,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
18000,190,4+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
15000,140,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Var,Boş,Hayır
8000,170,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
30000,170,3+1,2,4,Yerden Isıtma,Yok,Boş,Hayır
25000,320,6+2,3,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
12000,300,5+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6500,150,3+1,2,21 Ve Üzeri,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4000,27,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
5750,130,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6500,140,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
7500,67,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
22000,320,5+2,4,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
5400,55,1+1,1,3,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
10000,90,1+1,1,0 (Yeni),Merkezi Doğalgaz,Yok,Boş,Hayır
30000,171,3+1,2,4,Yerden Isıtma,Yok,Boş,Hayır
9500,135,3+1,2,21 Ve Üzeri,Merkezi Doğalgaz,Yok,Boş,Hayır
5500,140,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3650,80,2+1,1,2,Kombi Doğalgaz,Yok,Boş,Hayır
35000,210,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
7500,83,2+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
5400,55,1+1,1,3,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,50,1+1,1,21 Ve Üzeri,Isıtma Yok,Yok,Eşyalı,Hayır
7000,150,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
12500,180,3+1,2,3,Kombi Doğalgaz,Yok,Boş,Hayır
16000,230,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
13500,170,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
13500,180,4+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3600,27,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
30000,220,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4600,80,2+1,1,21 Ve Üzeri,Merkezi Doğalgaz,Var,Boş,Hayır
14000,150,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
13500,350,6+2,4,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
7500,160,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
12250,250,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
9000,200,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
11000,220,3+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
15500,200,4+1,2,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
12500,230,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
7000,155,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
18500,220,5+2,4,0 (Yeni),Kombi Doğalgaz,Yok,Boş,Hayır
11000,200,5+2,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
12500,175,4+1,2,11-15,Kombi Doğalgaz,Yok,Eşyalı,Hayır
4500,100,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
9000,220,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4200,120,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6200,130,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
8250,165,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
13500,220,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
17500,240,3+2,3,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
12500,200,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
10000,90,2+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Eşyalı,Hayır
9500,200,4+1,2,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
7500,170,3+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
8250,180,4+1,2,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
6000,130,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
35000,270,5+1,3,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
18000,300,4+1,3,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
