Kira,Alan,Oda Sayısı,Banyo Sayısı,Bina Yaşı,Isıtma Tipi,Balkon Durumu,Eşya Durumu,Site İçerisinde
6000,180,4+1,2,1,Merkezi (Pay Ölçer),Yok,Boş,Hayır
4500,155,3+1,2,1,Merkezi (Pay Ölçer),Yok,Boş,Hayır
2500,100,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
7000,130,3+1,2,5-10,Kombi Doğalgaz,Var,Eşyalı,Evet
3800,185,3+1,2,4,Merkezi (Pay Ölçer),Var,Boş,Evet
5000,110,3+1,2,5-10,Merkezi Doğalgaz,Yok,Boş,Hayır
3500,90,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Hayır
3000,70,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4500,90,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,63,1+1,1,4,Merkezi Doğalgaz,Yok,Eşyalı,Hayır
3000,60,1+1,1,4,Merkezi Doğalgaz,Yok,Boş,Hayır
3000,45,Stüdyo,1,1,Merkezi (Pay Ölçer),Var,Boş,Evet
3500,60,1+1,1,1,Merkezi (Pay Ölçer),Var,Boş,Evet
4200,130,3+1,1,21 Ve Üzeri,Kombi Doğalgaz,Yok,Boş,Hayır
3750,120,3+1,1,5-10,Kombi Doğalgaz,Var,Eşyalı,Hayır
2400,105,2+1,2,4,Kombi Doğalgaz,Var,Boş,Hayır
2900,60,1+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
2800,120,3+1,1,11-15,Kombi Doğalgaz,Yok,Boş,Hayır
4000,75,1+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
5100,75,2+1,1,4,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3500,120,3+1,1,4,Merkezi Doğalgaz,Yok,Boş,Hayır
6300,135,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Evet
4000,125,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
3500,100,2+1,1,5-10,Kombi Doğalgaz,Yok,Eşyalı,Hayır
3500,60,1+1,1,5-10,Merkezi (Pay Ölçer),Yok,Boş,Hayır
6500,140,3+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
4000,80,1+1,1,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
3750,105,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
1800,75,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
3500,90,2+1,1,5-10,Kombi Doğalgaz,Var,Boş,Evet
4950,120,3+1,2,0 (Yeni),Merkezi (Pay Ölçer),Yok,Boş,Hayır
2100,80,2+1,1,5-10,Kombi Doğalgaz,Yok,Boş,Hayır
4500,63,1+1,1,4,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
3500,95,2+1,2,5-10,Merkezi (Pay Ölçer),Yok,Eşyalı,Hayır
